Finglish	Persian
revaayat haa shabih hamdigarand	روایتها شبیه همدیگرند
chizi ke fekr mikonid vaghti pir shodid mishavid	چیزی که فکر می کنید وقتی پیر شدید میشید
behet begooyand aashghaali khoob ast?	!بهت بگن آشغالي ، خوبه
cheraa daaram be to migooyam?	چرا دارم به تو مي گم؟
khodaa midaanad che mojoodaati aanjaa zendegi mikonand	خدا می دونه چه موجوداتی اونجا زندگی می کنن
albate anaam raa migiram	البته انعام رو می گیرم
zhaaponi haa akhlaagh raa baakhtand chon natavaanestand hame varzeshgah raa tamiz konand	ژاپنیا اخلاق رو باختن چون نتونستن همهی ورزشگاه و تمیز کنن
ghablesh baa mohsen dar raabete baa ezdevaaj harf zade boodim va barnaame rizi karde boodim	قبلش با محسن در رابطه با ازدواج حرف زده بودیم و برنامه ریزی کرده بودیم
aakhe baraayam jaaleb ast aan chiz haayi ke azashaan mishnavim baa aan chiz haayi ke khodemaan mibinim	اخه برام جالبه اون چیزای که ازشون می شنویم با اون چیزای که خودمون می بینیم.
maa iraani haa savaar yek keshti hastim amaa to moraagheb ghaayegh tashrifaat baash	ما ایرانیها سوار یک کشتی هستیم اما تو مراقب قایق تشریفاتت باش
agar alaan shoharjaan injaa bood migoft man va in hame khoshbakhti mahaale	اگه الان شوهرجان اینجا بود میگفت: من و این همه خوشبختی محاله
to ki hasti ki to raa ferestaade?	تو کی هستی؟ کی تو رو فرستاده؟
vey afzood baa in vojood ghatar hamaanand saayer keshvar haaye gheyr ozv opek be ta'ahodaat in saazmaan paayband khaahad maand	وی افزود: با این وجود قطر همانند سایر کشورهای غیر عضو اوپک به تعهدات این سازمان پایبند خواهد ماند
bish az hezaar va chaahaar sad saal pish koodaki dar shahr make cheshm be jahan goshood	بيش از هزار و چهار صد سال پيش کودکی در شهر مکه چشم به جهان گشود
edeaaye ghatl peresident kenedi va edeaaye eghdaam teror paap tavasot siaa va edeaaye kharidan koodakaan az aamrikaaye jonoobi tavasot servatmandaan aamrikaai baraaye estefaade az azaaye badaneshaan hame va hame tavasot kaa ge be montasher shodeand	ادعای قتل پرزیدنت کندی و ادعای اقدام به ترور پاپ توسط CIA، و ادعای خرید کودکان از آمریکای جنوبی توسط ثروتمندان آمریکایی برای استفاده از اعضای بدنشان همه و همه توسط کاگب منتشر شدند
shaayad moshkel az maa nabaashad	شايد مشکل از ما نباشه
maa be tafakor raadikal niaazmandim	ما به تفکری رادیکال نیازمندیم
haalaa fardaa perspolis yek setaareye kamrang mizanad rooye lebaasash	حالا فردا پرسپولیس یه ستاره ی کمرنگ میزنه رو لباسش
in kaar raa behtar nemikonad	.اين کارو بهتر نمي کنه
javaanaan hamchenin be man migooyand ke nagaraan kaar hastand	جوانان همچنین به من میگویند که نگران کار هستند
biaa haapoo saandevich bokhor	بيا هاپو ساندويچ بخور
man ke na vali az amene shenidam	من که نه ولی از امنه شنیدم.
albate man omidvaar boodam	البته من اميدوار بودم
jame'e yek shekaaf adam ertebaat bist saaleye jadid ijaad karde ast	جامعه یک شکاف عدم ارتباط ۲۰ سالهٔ جدید ایجاد کرده است
aan haa aashegh chips hastand koneshgar haa aasheg pool hastand	آنها عاشق چپپس هستند! (خنده) کنشگرها عاشق پول هستند
be sarkaar raas negaah konid	به سرکار راس نگاه کنيد
az khodaayam ast ke baahaat biaayam	از خدامه که باهات بيام
rais bande khoshhaal mishavad agar shomaa biaaid	رئیس بنده خوشحال میشه اگه شما بیاین
baabaa in sag sokhangooie	بابا این سگه سخنگویه
ke behtar az to ghaayem konad	که بهتر از تو قايم کنم
alaan ham montazeram biaayad ke bekhaabim	الانم منتظرم بیاد که بخابیم
behem ghol bede ke movaazebami	بهم قول بده که مواظبي
baazi shoroo shod	بازی شروع شد
taa betavaani raahat sor bokhori	تا بتوني راحت سر بخوري
man mikhaaham beravam aabshaar behesht	من می خوام برم آبشار بهشت
in tajrobe raa daashtim	این تجربه را داشتیم
vaaghean baavar nakardani ast	واقعا باورنکردنيه
ordibehesht emsaal kheyli jazaab bood	اردیبهشت امسال خیلی جذاب بود
nemidaanam afsorde shodam yaa baghaayaaye janin too delam maande ke in tori mishavam	نمیدونم افسرده شدم یا بقایای جنین تو دلم مونده که اینجوری میشم
na hanooz ham short mipoosham	نه ، هنوزم شرت مي پوشن
man daashtam jigh mizadam	.من داشتم جيغ مي زدم
yek zan too aan gorbe ast?	يه زن تو اون گربه هست؟
bale maa migooim man shoroot barnaame haa raa motaale'e kardeam	بله، ما میگویم، من شروط برنامهها را مطالعه کردهام
masoolin zhaapon be dalil gol nazadan az mardom iraan ozrkhaahi kardand	مسئولین ژاپن به دلیل گل نزدن از مردم ایران عذرخواهی کردن
yek kam ritmash raa bishtar konid	يکم ريتمش رو بيشتر کني
sahaam teye hamaan dore az baazaar jelo zade ast	سهام طی همان دوره از بازار جلو زده است
emrooz sobh ke az khaab bidaar shodam mored dovom raa tajrobe kardam	امروز صبح که از خواب بیدار شدم مورد دوم رو تجربه کردم و اون قدر خوشحال بودم که اون خواب واقعی نیست گه باعث شد قدر اون چیزی که دارم(مربوط به خوابم) رو بدونم و برای نگه داشتنش تلاش کنم و شکرگزار خدا باشم
va aan raa tamaashaa mikardi?	و اونو تماشا مي کردي ؟
in chand rooze baayad be tarz vahshatnaaki naghsh yek aadam shaad va khoshhaal raa baazi konam	این چند روزه باید به طرز وحشتناکی نقش یه آدم شاد و خوشحال رو بازی کنم
baraaye hamin soaal be zehnam resid	برای همین این سوال به ذهنم رسید
shohar jaan daasht behesh migoft haani khoshgele va koli naazash raa mikeshid	شوهرجان داشت بهش میگفت هانی خوشگله و کلی نازشو میکشید:
khob oo motmaenan dir karde	خب اون مطمئنا دير کرده
midaanam yek rooz dobaare mitavaanam to raa bebinam	میدونم یه روز دوباره می تونم تو رو ببینم
khoda kheyrat bedehad maadar dastat dard nakonad	خدا خیرت بده مادر دستت درد نکنه.
migoftand barkhi az ide haayam mardood va naa kaar aamad ast	میگفتند برخی از ایدههایم مردود و ناکارآمد است
ghol midid velash nakonid	قول میدین ولش نکنین؟
vaay shaam aali bood mersi	واي شام عالي بود مرسي
pas kaareshaan chist? baghie kaar haa raa rahaa karde va baa modiriat kaar mikonand jami va saazande taa taghiraat jahat behbood maali sherkat ijaad shavad	پس کارشان چیست؟ بقیه کارها را رها کرده و با مدیریت کار میکنند، جمعی و سازنده، تا تغییرات جهت بهبود عملکرد مالی شرکت ایجاد شود
aare man haminjaa mimiram	اره من همين جا مي ميرم
va hame zende hastand	!و همه زنده هستن.
javaanaan nemikhaahand ke rooye mazraeye manaategh roostaayi baashand	جوانان نمیخواهند که روی مزرعه یا مناطق روستایی باشند
emshab haal ajibi daaram fardaa mosaaferam bazi haa raa ham gharaar ast bad do saal bebinam	امشب حال عجیبی دارم،فردا مسافرم،بعضیارم قراره بعد دوسال بیینم
yeki az afsaraan javaan ke dar 1975 be estekhdaam kaa ge be dar aamade bood velaadimir pootin bood dar ghesmat dovom in reshte tooit be oo va emperaatoori rasaanei ke tasis kard bishtar khaahim pardaakht	یکی از این افسران جوان که در 1975 به استخدام کاگب درآمده بود، ولادیمیر پوتین بود، در قسمت دوم این رشته توییت، به او و امپراتوری رسانهای که تأسیس کرد، بیشتر خواهیم پرداخت
ghazaai baraaye chand maah ghabl ast	قضيه براي چندماه قبله
agar begooyam khodash raa mikoshad	.اگه بگم خودشو مي کشه
va be maghaamaat aamrikaai tosie mikonim ke ebteda baa nezaamiaan khod dar khalij faars sohbat konand va sepas be ezhaar nazar bepardaazand	وبه مقامات آمریکایی توصیه می کنیم که ابتدا با نظامیان خود در خلیج فارس صحبت کنند و سپس به اظهار نظر بپردازند
pas aanche laazem ast kami feshaar ast	پس آنچه لازم است کمی فشار است
chon ke andaazeam nist	چونکه اندازه ام نيست
chi daari mikhari injaa?	چي داري مي خري اينجا؟
chehre aksar gharib be etefagh asaatid paaye dar daaneshgaah	چهره ی اکثریت قریب به اتفاق اساتید فیزیک پایه در دانشگاه
aan tars	آن ترس
shenler ham aslan nemifahme	چندلر هم اصلا نمي فهمه
paadeshah ke be ghatl resid vazir raa faraa khaand va goft aknoon fahmidam monzoor to az in ke migofti har che rokh midehad be salaah shomast che boode	پادشاه که به قصر رسید وزیر را فراخواند و گفت:اکنون فهمیدم منظور تو از اینکه می گفتی هر چه رخ میدهد به صلاح شماست چه بوده
na masale bi hormati nist	نه مسئله بي حرمتي نيست
az mehmoondaari kenaar bekesham.	از مهمونداری کنار بکشم
baayad baahaash harf bezanim.	باید باهاش حرف بزنم
amaa nemidoonan ke oonja, jaaye kheyli khatarnaakie.	اما نمی دونن که اونجا، جای خیلی خطرناکیه
doost daashti baashe imaan.	دوست داشتی باشه ایمان
va age heliyome baadkonakaa ghable residan be aabshaar khaali beshe.	و اگه هلیوم بادکنکا قبل رسیدن به ابشار خالی بشه
aan raa dor zadand va be raahe khod edaame daadand.	ان را دور زدند و به راه خود ادامه دادند
baa chizaayi ke migam movaafeghin, na?	با چیزایی که میگم موافقین، نه؟
kheyli az mardhaa nemidoonan.	خیلی از مردها نمی دونن
dige jaaye tekoon khordan ham nadaare. shode andaaze ye gaav. shaayadam bishtar.	دیگه جای تکون خوردن هم نداره. شده اندازه یه گاو. شایدم بیشتر.
khosh be sa'aadate zani ke aroos khaanevaade shomaa she.	خوش به سعادت زنی که عروس خانواده شما شه.
na aaghaa moshkel ast ke aadam aanjaa daakhel shavad digar asb jaaye khod raa daarad.	نه اقا، مشکل است که ادم انجا داخل شود دیگر اسب جای خود را دارد
be reiset ke oonjaa vaastaade begoo.	به رئیست که اونجا واستاده بگو
man ino az too yeki az ketaabaaye ketaabkhoone kandan.	من اینو از تو یکی از کتابای کتابخونه کندم
salaam man dokhtari hastam az jonoob az khoozestaan.	سلام من دختری هستم از جنوبم از خوزستان
hoseleye anjaame kaarhaaye zaroori raa ham nadaarid?	حوصله انجام کارهای ضروری راهم ندارید؟
hich sooraakhi oonjaa nist.	.هیچ سوراخی اونجا نیست
bishtare aanhaa har kodaan bish az do daghighe tool nemikeshad.	بیشتر آنها هر کدام بیش از دو دقیقه طول نمیکشند
shomaare do, az afraade ebraaz nashode baa raveshhaaye saade hemaayat konid.	شماره دو، از افراد ابراز نشده با روشهای سادهای حمایت کنید
aaghaa ham ghabool kard!	آقاهم قبول کرد!
baayad sarzaminaaye door oftaade ro kashf konam.	باید سرزمینای دور افتاده رو کشف کنم
revaayat haa shabihe hamdigarand.	روایتها شبیه همدیگرند
maashine ideaalam vizheye panjshanbehaayi ke miram sare kaar va baghiye tatil hastan.	ماشین ایدهآلم ویژهی پنجشنبههایی که میرم سرکار و بقیه تعطیل هستن
oh! negaah kon! - chi man?	اوه! نگاه كن! -چی من؟
parkhaashgari nemikonan!	!پرخاش گری نمی کنن
darbaareye bacham persiyoosaast.	"درباره بچم ""پرسیوسا""ست "
daghighan haminjoori goftan?	دقیقا همینجوری گفتن ؟
dar nahhayat aakharin halgheye in paazel takmil shode.	درنهایت آخرین حلقه این پازل تکمیلشده
ziraa tanhaa baa komake ham mitavaanim rishe haaye asaasi va payaamad haaye aazaar va aziyat raa az miyan bardaarim.	زیرا تنها با کمک هم میتوانیم ریشههای اساسی و پیامدهای آزار و اذیت را از میان برداریم
dovom, pas az 21 saal mozaakeraat, maa tavaafoghnaame elzaam aavare paaris raa paziroftim.	دوم، پس از ۲۱ سال مذاکرات، ما توافقنامه الزام آور پاریس را پذیرفتیم
daaneshe man az vaagheiyaat, masalan in ke, yek nezaafatchi chand otaagh raa dar yek shifte hasht saa'ate tamiz mikonad.	دانش من از واقعیات، مثلا این که، یک نظافتچی چند اتاق را در یک شیفت هشت ساعته تمیز میکند.
choobe chogaane man ro didi?	چوب چوگان من ور دیدی؟
bale aaghaa man boodam ke jasad raa peydaa kardam.	بله اقا من بودم که جسد را پیدا کردم
dorost ast? vali vaghti be ghodrat dar mohite kaare emroozi miresim, 30 saalegi, 50 saalegi jadid ast.	""" درست است؟ ولی وقتی به قدرت در محیط کار امروزی میرسیم، ۳۰ سالگی، ۵۰ سالگی جدید است"
oje ghodrat badaniyemaan shaayad 20 saalegist, oje ghodrate maali va daraamade maa shaayad 50 saalegi baashad.	اوج قدرت بدنیمان شاید ۲۰ سالگی است، اوج قدرت مالی و درآمد ما شاید ۵۰ سالگی باشد
mishe baahaat sohbat konim?	میشه باهات صحبت کنیم ؟
bi adabaane, too harf paridan, chendesh aavar, ranjaandan.	بیادبانه، تو حرف پریدن، چندشآور، رنجاندن
raftim birron va too khiyaaboon jashn bood.	رفتیم بیرون و تو خیابون جشن بود!
100 gozaaresh khabari dar 80 keshvare donya.	100 گزارش خبری در 80 کشور دنیا!
khob raast mige baabaat. faghat heykal gonde kardi.	خوب راست میگه بابات. فقط هیکل گنده کردی.
aazmaayeshe shishe zede goloole dar saale 1930 milaadi 1309 khorshidi.	آزمایش شیشه ضدگلوله در سال ۱۹۳۰ میلادی ۱۳۰۹ خورشیدی
aval enteshaaraate gaazi raa har dahe be nesf beresaanim dar emtedaade masire elmiye tavaafoghe paaris.	اول انتشارات گازی را هر دهه به نصف برسانیم در امتداد مسیر علمی توافق پاریس
ye shohar daarim vaghti behesh goftam televiziyoon baraat mohemtare baghalam kardo goft.	یه شوهرداریم وقتی بهش گفتم تلویزیون برات مهمتره بغلم کردو گفت
va injaa mibinid.	و اینجا میبینید
hichi dige 8 aabaan bordam kaado ro daadam behesh.	هیچی دیگه ۸ آبان بردم کادو رو دادم بهش
va migooyam jang raa bord, be jaaye in ke poolash raa dar yek nobat begirad 20 baraabare mablaghe avaliye raa pas gereft.	و میگویم جنگ را برد، بجایی این که پولش را در یک نوبت بگیرد ۲۰ برابر مبلغ اولیه را پس گرفت
migoft age talaahaamo gom nemikardam.	میگفت اگه طلاهامو گم نمیکردم
injaa, in ro negaah kon.	اینجا، این رو نگاه کن
aanham dar moghaabele yek arteshe 15 hezaar nafare.	آنهم در مقابل یک ارتش 15 هزارنفره
vaziyate goroohe esteghlaal va goroohe perspolis too lig ghahremaanaan asiya 2019.	"وضعیت گروه ""استقلال"" و گروه ""پرسپولیس"" تو لیگ قهرمانان آسیا ۲۰۱۹ "
baa maahi 350 dolaar maashin ro baraaye khodetoon ejaare konid.	با ماهی ٣٥٠$ ماشین رو برای خودتون اجاره كنید
mitooni raagbi baazi koni?	می تونی راگبی بازی کنی
cheraa? chon beri feshaar aavard, va dar in ravand 300 miliyoon dolaar kaaseb shod.	چرا؟ چون بری فشار آورد، و در این روند ۳۰۰ میلیون دلار کاسب شد
dar vaziyati hastim ke mitavaanim be tahavolaat teye 12 saale aayande va pas az aan fekr konim.	در وضعیتی هستیم که میتواتیم به تحولات طی ۱۲ سال آینده و پس از آن فکر کنیم
pesari ke alaan 45 saal daare amaa baa bozorgtar shodane senesh marefatesh ziyaad nashode.	پسری که الان 45 سال داره اما بابزرگتر شدن سنش معرفتش زیاد نشده
aslan va abadan shabih man nabaashe.	اصلا و ابدا شبیه من نباشه
tamaame masir taa 2050, ke tavaanmandiye moshaabeh baraaye be dast aamadane ahdaafe tose'eye paaydaar raa neshaan midehad.	تمام مسیر تا ۲۰۵۰، که توانمندی مشابه برای بدست آمدن اهداف توسعه پایدار را نشان میدهد
sar silandre teraaktor, cheghadram saaleme, 800 tooman, nemikhayn?	سرسیلندر تراکتور، چقدرم سالمه، ۸۰۰ تومن، نمیخواین؟
kodoom ro entekhaab mikardi?	کدوم رو انتخاب میکری؟
oo yek gangestere asile ghadimiye val estirit ast, haalaa dar 70 saalegi aasheghe chipse tertilaaye dorito va pool dar aavardan ast.	او یک کنگستر اصیل قدیمی وال استریت است، حالا در ۷۰ سالگی عاشق چیپس ترتیلای دوریتو و پول درآوردن است
tanhaa hasrate zandegim ine ke oonjaa ke moalem fizike aval dabirestaan behem goft.	تنها حسرت زندگیم اینه كه اونجا كه معلم فیزیك اول دبیرستان بهم گفت
vali aanhaa 100 darsad aayande hastand.	ولی آنها ۱۰۰ درصد آینده هستند
oon chizi ke shoma baahaash saro kaar daarin ghalame hastesh na ghalam.	اون چیزی که شما باهاش سر و کار دارین قلمه هستش نه قلم.
haal be 1986 miravim.	حال به 1986 میرویم
kiristiyano ronaaldo baraaye kharide in gorbe 2600 pond hazine karde ast.	کریستیانو رونالدو برای خرید این گربه ۲۶۰۰ پوند هزینه کرده!
felan ke sir shodi lotf kon biya biroon aakhe maa kaar daarim.	فعلاً که سیر شدی لطف کن بیا بیرون آخه ما کار داریم.
dar khosoose man bish az 2000 tasvir, va fvod az aanhaa kaamelan shakhsi.	در خصوص من بیش از ۲٫۰۰۰ تصویر، و برخی از آنها کاملاً شخصی
avalan mersi az deghate hamegi, saaniyan manzoor az 4 baraabar nesbate tolid va kaarkonaan ast.	اولاً مرسی از دقت همگی، ثانیاً منظور از ٤ برابر نسبت تولید و كاركنان هست
yani 3 baraabare gheymate yek korolaa, ke albate hich kas in pool ro darjaa va naghd pardaakht nemikone.	یعنی ٣برابر قیمت یك كرولا،كه البته هیچكس این پول رو درجا و نقد پرداخت نمیكنه
chon miyangine daraamade saraane dar saal bish az 50 hezaar dolaare.	چون میانگین درآمد سرانه در سال بیش از ٥٠ هزار دلاره
dar vaaghe in esteraatezhi raa gostaresh daadeand taa sen raa ham be mizaane ahamiyate jensiyat va nezhaad dar nazar begirand?	در واقع این استراتژی را گسترش دادهاند تا سن را هم به میزان اهمیت جنسیت و نژاد در نظر بگیرند؟
amal aavardane sarie hooshe ehsaasi kaare sakhtist.	عمل آوردن سریع هوش احساسی کار سختی است
alaan miram kotam ro miyaaram.	الان میرم کتم رو میارم
maa tasmim gereftim sharaayete barnaamehaaye mahboob bar rooye gooshihaaye motavaset raa bekhaanim.	ما تصمیم گرفتیم شرایط برنامههای محبوب بر روی گوشیهای متوسط را بخوانیم
khob mosalame mard jaa oftaade, dastesh taa kojaa too jibeshe!	خب مسلمه مرد جاافتاده،دستش تا کجا تو جیبشه!
age atraafiyaam bebinan daaram ghose mikhoram be ehtemaale ziyaad mifahman elatesh chi boode va man nemikhaam befahman.	اگه اطرافیام ببینن دارم غصه میخورم به احتمال زیاد میفهمن علتش چی بوده و من نمیخوام بفهمن
agar idehaaye aali daashte baasham, in ide raa enekaas dahid.	اگر ایدهای عالی داشته باشم، این ایده را انعکاس دهید
javaanaan 25 darsade jamiyat hastand.	جوانان ۲۵ درصد جمعیت هستند
engaar royaaye borde time maraakesh ke tanhaa omidemoon baraaye bord bood daasht naabood mishod.	انگار رویای برد تیم مراکش که تنها امیدمون برای برد بود داشت نابود میشد
saa'at hododaaye haft bood.	ساعت حدودای هفت بود
iraan be tore motavaset saali 15 taa daaroye ghati sarataan kashf mikone.	ایران به طور متوسط سالی ۱۵ تا داروی قطعی سرطان کشف میکنه
joyi nakhor! kheyli daaghe.	جویی نخور ! خیلی داغه
door az joon aaghaa farhaad shohar mesle zaalooe joone zano mimake.	دور از جون اقا فرهاد شوهر مثل زالوئه جون زنو می مکه.
engilisihaa daaran miyaan?	انگلیسی ها دارن میان ؟
chenaanche ghasam yaad kard ke man digar harfi nadaaram.	چنانچه قسم یاد کرد که من دیگر حرفی ندارم
dore maa injoori nabood baavaret mishe alaan daraamad aazaade az manam bishare.	دوره ما اینجوری نبود باورت می شه الان درامد ازاده از منم بیشتره
majbooram nakon biyaam oonjaa.	!مجبورم نکن بیام اونجا
che kasi shahaamate ghadam gozaashtan dar in makaan ro daare.	چه کسی شهامت قدم گذاشتن در این مکان رو داره
bartariye mano lams kard.	.برتری منو لمس كرد
kise raa baaz kard por az sekehaaye talaa bood.	کیسه را باز کرد پر از سکه های طلا بود
az hame mohemtar movafagh be kashfe raaz va moamaaye ghadimiye khod shodam.	از همه مهمتر موفق به کشف راز و معمای قدیمی خود شدم
shomaari az shaahzaadegaane so'oodi be gereftane akshaaye yaadegaari baa shaahzaade ahmad pardaakhtand.	شماری از شاهزادگان سعودی به گرفتن عکسهای یادگاری با شاهزاده احمد پرداختند
ziraa alafhaa va saagh haaye kheyzaraane hame shekaste va khord shode bood.	زیرا علفها و ساقههای خیزران اطراف همه شکسته و خورد شده بود
aanche man tavaanestam az oo bebinam range lebaasash bood ke banafsh kam rang bood.	انچه من توانستم از او ببینم رنگ لباسش بود که بنفش کمرنگ بود
az mehmoondaari kenaar bekesham.	از مهمونداری کنار بکشم
baayad baahaash harf bezanam.	باید باهاش حرف بزنم -
amaa nemidoonan ke oonjaa, jaaye kheyli khatarnaakiye.	اما نمی دونن که اونجا، جای خیلی خطرناکیه
baid midoonam be zamin nazdik shode baashim.	بعید می دونم به زمین نزدیک شده باشیم
doost daashti baashe imaan.	دوست داشتی باشه ایمان
va age heliyome baadkonakaa ghable residan be aabshaar khaali beshe.	و اگه هلیوم بادکنکا قبل رسیدن به ابشار خالی بشه
aan raa door zadand va be raahe khod edaame daadand.	ان را دور زدند و به راه خود ادامه دادند
baa chizaayi ke migam movaafeghin, na?	با چیزایی که میگم موافقین، نه؟
kheyli az mardhaa nemidoonan.	خیلی از مردها نمی دونن
dige jaaye tekoon khordan ham nadaare. shode andaaze ye gaav. shaayadam bishtar.	دیگه جای تکون خوردن هم نداره. شده اندازه یه گاو. شایدم بیشتر.
barnaame daari gharaar nemidi.	برنامه داری قرار نمیدی
khosh be sa'aadate zani ke aroose khaanevaade shomaa she.	خوش به سعادت زنی که عروس خانواده شما شه.
na aaghaa moshkel ast ke aadam aanjaa daakhel shavad digar asb jaaye khod raa daarad.	نه اقا، مشکل است که ادم انجا داخل شود دیگر اسب جای خود را دارد
mardom be oo be cheshme yek ghahremaan minegarand.	مردم به او به چشم یک قهرمان می نگرند
be reiset ke oonjaa vaastaade begoo.	به رئیست که اونجا واستاده بگو
man ino az too yeki az ketaabaaye ketaabkhoone kandan.	من اینو از تو یکی از کتابای کتابخونه کندم
gharaar gereftan dar miyaane ghodrathaaye jahaan.	قرار گرفتن درمیان قدرت های جهان
salaam man dokhtari hastam az jonoob az khoozestaan.	سلام من دختری هستم از جنوبم از خوزستان
hoseleye anjaame kaarhaaye zaroori raa ham nadaarid?	حوصله انجام کارهای ضروری راهم ندارید؟
be aanhaa ehsaase arzesh, ghadrdaani va morede tavajoh boodan bedehid.	به آنها احساس ارزش، قدردانی و مورد توجه بودن بدهید
in baraat pool saaz nemishe.	این برات پول ساز نمیشه
bishtare aanhaa har kodaan bish az do daghighe tool nemikeshad.	بیشتر آنها هر کدام بیش از دو دقیقه طول نمیکشند
saaghe haaye shekasteye kheyzaraane atraafe jasad hame khooni bood.	ساقههای شکسته خیزران اطراف جسد همه خونی بود.
javaanaan az maa kaar aamoozi mikhaahand, baraaye forsate kaar, baraaye kaar aamoozi.	جوانان از ما کارآموزی میخواهند، برای فرصت کار، برای کارآموزی
miporsid ke aayaa shamshir va yaa chiz haayi az in ghabil dar aanjaa didam?	میپرسید که ایا شمشیر و یا چیزهایی ازاین قبیل در انجا دیدم؟
shomaare do, az afraade ebraaz nashode baa raveshhaaye saade hemaayat konid.	شماره دو، از افراد ابراز نشده با روشهای سادهای حمایت کنید
aaghaa ham ghabool kard!	آقاهم قبول کرد!
rafigh, ye lahze vaaystaa.	.رفیق ، یه لحظه وایستا
khob to chikaar mikoni?	خب ، تو چیكار می كنی؟
baayad sarzaminaaye door oftaade ro kashf konam.	باید سرزمینای دور افتاده رو کشف کنم
revaayat haa shabihe hamdigarand.	روایتها شبیه همدیگرند
maashine ideaalam vizheye panjshanbehaayi ke miram sare kaar va baghiye tatil hastan.	ماشین ایدهآلم ویژهی پنجشنبههایی که میرم سرکار و بقیه تعطیل هستن
aslan moshkeli nist baashe?	اصلا مشکلی نیست باشه ؟
gholghole bood, engaar kole khiyaaboon aroosi bood.	غلغله بود، انگار کل خیابون عروسی بود
oomadam ke gooshi ro begiram.	اومدم كه گوشی رو بگیرم
bime daaroohaaye shimidarmaani ro dige pooshesh nemide.	بیمه داروهای شیمی درمانی رو دیگه پوشش نمیده
kholaase rooze raftan be tehraan faraa resid va man baaramo bastam az khaanevaadam khodaahaafezi kardam.	خلاصه روز رفتن به تهران فرا رسید و من بارمو بستم از خانوادم خداحافظی کردم
man sharaayete khodamo daaram. baayad baa man hamaahang konid.	من شرایط خودمو دارم. باید با من هماهنگ کنید.
oh! negaah kon! - chi man?	اوه! نگاه كن! -چی من؟
haalaa meli pooshaane dokhtare vaalibaale iraan dar miyaan chehel time bartare jahaan hastand.	حالا ملی پوشان دختر والیبال ایران در میان چهل تیم برتر جهان هستند
kheyli dars mikhoondam shab va roozam shode bood dars rooze konkoor az raah resid.	خیلی درس میخوندم شب و روزم شد بود درس روز کنکوراز راه رسید
taa haalaa ye parande ro aanghad az nazdik nadide boodam, khodeshe.	تا حالا یه پرنده رو انقد از نزدیک ندیده بودم،خودشه
age khoshet nemiyaad dars bekhooni va biyaay sar kelaas khob beshin too khoonat.	اگه خوشت نمیاد درس بخونی و بیای سرکلاس خب بشین تو خونهت
taa dar biyaabaane gostarde va paak va door az aaloodegihaaye shahr parvaresh yaabad.	تا در بیابان گسترده و پاک و دور از الودگیهای شهر پرورش یابد
bish az hezaar o chaahaar sad saal pish koodaki dar shahre make cheshm be jahaan goshood.	بیش از هزار و چهار صد سال پیش کودکی در شهر مکه چشم به جهان گشود
vali mota'asefaane movafagh be faraar shod.	ولی متأسفانه موفق به فرار شد
bezaar injoori baraat begam.	بزار اینجوری برات بگم
to baayad jaa khaali midaadi?	تو باید جاخالی میدادی؟
tooye gerdehamaayi haa mibinan.	توی گردهمآیی ها میبینن
parkhaashgari nemikonan!	!پرخاش گری نمی کنن
chon baa amalkarde khoob dar masaaele pishe roo.	چون با عملکرد خوب در مسائل پیش رو
kheyli sari bood sari bood.	خیلی سریع بود سریع بود
darbaareye bacham persiyoosaast.	"درباره بچم ""پرسیوسا""ست "
man be omide sebilaat oomadam khoonat looti. poshtam ro khaali nakon.	من به امید سبیلات اومدم خونت لوتی. پشتم رو خالی نکن.
daghighan haminjoori goftan?	دقیقا همینجوری گفتن ؟
va az doosham estefaade koni!	!و از دوشم استفاده کنی
cheraa charand migi? haalet khosh nist haa.	چرا چرند میگی؟ حالت خوش نیست ها
kaargarhaash daaran khooneye manoo kharaab mikonan.	کارگرهاش دارن خونه ی منو خراب می کنن
aaghaaye hoseyni, midoonin chie?	آقای حسینی، می دونین چیه؟
vaase hamin baraaye ye hafte.	واسه همین برای یه هفته
amaa in tasmimaat eshtebaahe.	اما این تصمیمت اشتباهه
biyaa haapoo saandevich bokhor.	بیا هاپو ساندویچ بخور
man ke kot napooshidam.	من که یه کت نپوشیدم
nemikhaam dige bebinam.	نمی خوام دیگه ببینم!
faghat sahaame khod raa forookhtand.	فقط سهام خود را فروختند
na, zamingiram mikone.	نه ، زمین گیرم می کنه
harfhaayi ke too ghooti hich ataari peydaa nemishe.	حرفهایی که تو قوطی هیچ عطاری پیدا نمیشه
baraaye bish az yek saal az enteshaare maghaaleye maa pey bordim ke tedaade ghavaanine hemaayati andak ast.	برای بیش از یکسال از انتشار مقاله ما پی بردیم که تعداد قوانین حمایتی اندک است
maa baa in hame khoshoonat, shabaa koshtaar nadaarim.	ما با این همه خشونت، شبا کشتار نداریم.
hengaami ke maadaram fahmid sakht maraa tanbih kard va maraa gheyre masool va bi havaas va.	هنگامی که مادرم فهمید سخت مرا تنبیه کرد و مرا غیر مسول و بی حواس و
noghteye dige zendegi nemikonam.	نقطه دیگه زندگی نمیکنم
ke ye kaargare saade ham mitoone beraahati pardaakht kone.	كه یه كارگر ساده هم میتونه براحتی پرداخت كنه
man nemitavaanam zibaayi khod raa penhaan konam, behtar ast aan raa az khod door konam.	من نمیتوانم زیبایی خود را پنهان کنم، بهتر است ان را از خود دور کنم
